date,open,high,low,close,volume
1513206600000,16321,16389,16314,16359,56.13261563
1513206300000,16340,16340,16290,16321,38.0863336
1513206000000,16285,16340,16281,16339,123.91404205
1513205700000,16400,16401,16280,16291,173.76809885
1513205400000,16352,16403,16350,16400,44.48419593
1513205100000,16338,16400,16319,16367,72.87052155
1513204800000,16318,16400,16300,16339,91.6056321
1513204500000,16317,16385,16250,16314,221.30077738
1513204200000,16492,16550,16317,16317,186.23106732
1513203900000,16451,16519,16436,16491,52.99549066
1513203600000,16531,16564,16400,16450,335.54674275
1513203300000,16564,16565,16461,16530,286.34678863
1513203000000,16614,16636,16533,16564,155.07702365
1513202700000,16666,16671,16608,16611,116.09845648
1513202400000,16668,16718,16649,16666,202.14656352
1513202100000,16680,16680,16622,16668,216.50397784
1513201800000,16643,16688,16643,16679,125.99352092
1513201500000,16630,16644,16590,16640,79.90666361
1513201200000,16667,16677,16604,16627,111.33091598
1513200900000,16596,16750,16596,16667,228.34232509
1513200600000,16633,16634,16590,16596,59.98924231
1513200300000,16647,16699,16590,16633,121.63080273
1513200000000,16610,16713,16598,16650,143.32504002
1513199700000,16622,16654,16568,16610,127.70151807
1513199400000,16643,16745.94544817,16611,16618,155.91434891
1513199100000,16691,16750,16563,16650,430.92760352
1513198800000,16218,16750,16217,16691,866.68954667
1513198500000,16234,16238,16163,16217,186.86699067
1513198200000,16258,16278,16221,16226,80.87695518
1513197900000,16201,16258,16200,16258,103.56059849
1513197600000,16260,16269,16201,16201,165.81384381
1513197300000,16201,16281,16200,16261,114.19056325
1513197000000,16354,16354,16200,16200,473.47124339
1513196700000,16340,16394,16292.58651895,16354,127.09996292
1513196400000,16248,16368,16225,16340,132.75052853
1513196100000,16269,16346,16209.94296414,16248,473.73692946
1513195800000,16430,16430,16268,16277,145.91212636
1513195500000,16438,16438,16355,16429,107.74218237
1513195200000,16432,16518,16411,16455,157.50908706
1513194900000,16386,16438,16343,16432,162.42399747
1513194600000,16408,16415,16305,16386,103.77413332
1513194300000,16474,16501.96929318,16370,16406,187.82086578
1513194000000,16269,16510,16222,16474,722.93206046
1513193700000,16303,16311,16221,16270,129.17865882
1513193400000,16322,16350,16231,16302,194.28118865
1513193100000,16365,16446,16290,16316,351.99727684
1513192800000,16300,16366,16189,16366,316.84433099
1513192500000,16306,16344,16300,16300,321.74876823
1513192200000,16001,16309,16001,16306,311.60547847
1513191900000,16234,16258,15933,16005,334.07945084
1513191600000,16147,16320,16147,16234,240.23221868
1513191300000,16264,16264,16100,16188,330.86568183
1513191000000,16044,16350,16043,16227,789.47566662
1513190700000,15985.62317804,16044,15820,16038,332.70835914
1513190400000,15686,16095,15651,15993.86137006,618.10747421
1513190100000,15874,15933,15650,15682,470.62717221
1513189800000,15653,15990,15653,15886,492.60048812
1513189500000,15885,15900,15632,15680,946.40249486
1513189200000,15901,16056,15880,15885,369.91307535
1513188900000,16045,16131,15900,15901,561.89551477
1513188600000,16009,16207,16000,16055,568.22727933
1513188300000,16238,16261,16000,16007,642.96301839
1513188000000,16310,16329,16200,16237,202.00862822
1513187700000,16434,16446,16308,16308,178.57902643
1513187400000,16447,16594,16413,16448,246.68316799
1513187100000,16340,16581,16330,16448,527.80047321
1513186800000,16222,16379,16164,16342,310.56055436
1513186500000,16180,16378,16101,16223,721.15039836
1513186200000,16264,16265,16180,16180,521.25811909
1513185900000,16354,16354,16197,16265,316.98505352
1513185600000,16268,16355,16200,16353,384.50173459
1513185300000,16372,16420,16237,16268,401.7245306
1513185000000,16338,16400,16180,16371,1044.44780084
1513184700000,16483,16489,16338,16347,674.82344341
1513184400000,16639,16641,16483,16483,312.2887601
1513184100000,16650,16664,16540,16624,260.45009137
1513183800000,16610,16689,16500,16650,692.90234573
1513183500000,16723,16737,16609,16610,340.33977329
1513183200000,16785,16785,16678,16722,308.41097873
1513182900000,16832,16850,16781,16783,231.44463827
1513182600000,16872,16900,16810,16839,156.94567703
1513182300000,16816,16904,16815,16872,123.83110313
1513182000000,16900,16905,16807,16825,98.94547963
1513181700000,16826,16916,16800,16900,361.42172637
1513181400000,16791,16860,16760,16829,148.15016433
1513181100000,16850,16860,16750,16797,389.1628255
1513180800000,16890,16899,16850,16851,130.47164425
1513180500000,16940,16941,16890,16890,115.05194484
1513180200000,16956,16962,16940,16940,155.98087413
1513179900000,17005,17005,16955,16956,125.70811988
1513179600000,17051.6689443,17062,16991,17004,89.70381525
1513179300000,17020,17100,16975,17062,139.902286
1513179000000,16966,17095,16940,17020,160.9527935
1513178700000,16973.77250702,17068,16952,16964,179.47527259
1513178400000,17068,17075,16973,16973.77250702,199.6644678
1513178100000,17076,17100,17026,17068,102.12093387
1513177800000,17006,17154,16999,17076,224.64948544
1513177500000,17011,17061,16968,16999,115.31479093
1513177200000,17001,17086,16981,17001,204.25313193
1513176900000,16940,17029,16880,17001,302.76439494
1513176600000,17040,17065,16939.24340399,16940,167.92057297
1513176300000,17040,17130,17021,17040,153.53849613
1513176000000,17071,17086,17033.35031179,17049,144.82966798
1513175700000,16998.06022136,17078,16980,17074,129.60284644
1513175400000,17083,17106,17000,17000,138.30502934
1513175100000,17081,17116,17010,17073,136.0863837
1513174800000,17150,17152,17062,17082,126.18166962
1513174500000,17049,17161,17043,17150,339.60045094
1513174200000,16996,17053,16970,17049,120.84394222
1513173900000,16979,16999,16970,16995,126.57468323
1513173600000,16967,16979,16955,16979,82.13604437
1513173300000,16942,16974,16912,16969,94.4786759
1513173000000,16999,17000,16891,16942,215.4828139
1513172700000,17032,17046,16999,17000,122.22192158
1513172400000,17028,17047,17001,17033,71.62879237
1513172100000,16986,17056,16986,17024,135.92033496
1513171800000,17017,17060,16927,16986,136.81094986
1513171500000,17090,17126,16928,17018,346.59412418
1513171200000,17050,17090,17003,17089,154.04149093
1513170900000,16995,17050,16981,17050,137.40711574
